"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1935719;1362392;"";"B-GO8332";"WME4533421K103080";"PETROL";"";"";"car2go";"car2go"
1935720;2574007;"";"Evelyn";"DriveNow_13428686";"DIESEL";"W-26943D";"BMW X1";"DriveNow";"driveNow"
1935721;1360677;"";"1556 / W-85447C";"WME4513341K833372";"PETROL";"";"";"car2go";"car2go"
1935722;1359165;"";"B-GO8205";"WME4533421K085553";"PETROL";"";"";"car2go";"car2go"
1935723;2575527;"";"Einar";"DriveNow_13181322";"PETROL";"NWT311";"BMW 1er";"DriveNow";"driveNow"
1935724;1357776;"";"B-GO8215";"WME4533421K086680";"PETROL";"";"";"car2go";"car2go"
1935725;31761;"";"Nona";"DriveNow_13203147";"ELECTRICITY";"M-EV5760";"BMW i3 REx";"DriveNow";"driveNow"
1935726;1360952;"";"B-GO6853";"WME4533421K085813";"PETROL";"";"";"car2go";"car2go"
1935727;1358909;"";"B-GO8325";"WME4533421K103142";"PETROL";"";"";"car2go";"car2go"
1935728;1358640;"";"B-GO5649";"WDD1760121J522347";"PETROL";"";"";"car2go";"car2go"
1935729;2577304;"";"Timothee";"DriveNow_13429429";"DIESEL";"M-DX8714";"BMW X1";"DriveNow";"driveNow"
1935730;1357775;"";"B-GO4994";"WME4533421K074154";"PETROL";"";"";"car2go";"car2go"
1935731;2574703;"";"Wendelin";"DriveNow_13432238";"PETROL";"M-DX8406";"MINI Cabrio";"DriveNow";"driveNow"
1935732;810665;"";"Oliviero";"DriveNow_13389199";"DIESEL";"M-DX6242";"BMW 1er";"DriveNow";"driveNow"
1935733;1356112;"";"B-GO4828";"WME4533421K075090";"PETROL";"";"";"car2go";"car2go"
1935734;577261;"";"Gordy";"DriveNow_13330107";"ELECTRICITY";"M-EV5791";"BMW i3";"DriveNow";"driveNow"
1935735;1048141;"";"Davon";"DriveNow_13404419";"PETROL";"M-DX6510";"MINI Cabrio";"DriveNow";"driveNow"
1935736;1356365;"";"1459 / W-85338C";"WME4513341K831689";"PETROL";"";"";"car2go";"car2go"
1935737;1356773;"";"S-GO2602";"WME4513901K819824";"ELECTRICITY";"";"";"car2go";"car2go"
1935738;1357568;"";"B-GO3918";"WME4533421K038095";"PETROL";"";"";"car2go";"car2go"
